Source,Target,Type,Id,Weight
1,9,Undirected,1,0.694411
1,22,Undirected,2,1.73635
1,25,Undirected,3,3.24088
1,33,Undirected,4,1.99555
1,44,Undirected,5,1.26141
1,49,Undirected,6,1.83292
1,66,Undirected,7,0.877643
1,69,Undirected,8,0.719653
1,74,Undirected,9,0.7182
1,76,Undirected,10,0.869397
1,91,Undirected,11,0.597241
1,98,Undirected,12,0.544066
2,4,Undirected,13,1.25778
2,10,Undirected,14,1.57928
2,14,Undirected,15,1.57924
2,19,Undirected,16,1.03515
2,36,Undirected,17,1.09095
2,48,Undirected,18,0.831589
2,60,Undirected,19,0.703609
2,69,Undirected,20,53.1996
2,71,Undirected,21,0.668276
2,84,Undirected,22,0.48952
2,95,Undirected,23,0.501446
2,97,Undirected,24,0.809937
3,6,Undirected,25,2.24436
3,7,Undirected,26,1.93232
3,8,Undirected,27,1.84723
3,17,Undirected,28,1.90362
3,36,Undirected,29,2.63882
3,41,Undirected,30,1.80807
3,46,Undirected,31,1.11479
3,67,Undirected,32,0.807
3,79,Undirected,33,0.607127
3,85,Undirected,34,0.510716
3,89,Undirected,35,0.530079
3,93,Undirected,36,0.530628
4,2,Undirected,37,1.42297
4,10,Undirected,38,1.83507
4,12,Undirected,39,0.788946
4,14,Undirected,40,1.83502
4,19,Undirected,41,1.19669
4,28,Undirected,42,1.93537
4,39,Undirected,43,0.425854
4,63,Undirected,44,0.843931
4,65,Undirected,45,0.766765
4,71,Undirected,46,0.76927
4,99,Undirected,47,0.50887
4,100,Undirected,48,0.501543
5,34,Undirected,49,203.744
5,39,Undirected,50,1.74797
5,42,Undirected,51,1.93665
5,57,Undirected,52,1.12138
5,61,Undirected,53,1.09786
5,76,Undirected,54,0.878775
5,77,Undirected,55,0.798381
5,78,Undirected,56,0.821668
5,81,Undirected,57,0.798368
5,82,Undirected,58,0.848502
5,92,Undirected,59,0.758439
5,99,Undirected,60,0.56258
6,3,Undirected,61,2.3625
6,7,Undirected,62,1.9763
6,8,Undirected,63,1.89048
6,10,Undirected,64,0.694432
6,17,Undirected,65,1.94736
6,31,Undirected,66,1.79642
6,46,Undirected,67,1.14802
6,67,Undirected,68,0.83378
6,75,Undirected,69,0.758294
6,85,Undirected,70,0.529667
6,89,Undirected,71,0.549603
6,93,Undirected,72,0.550167
