Id,Community,Closeness,Radius
3,1,0.0045153,0.222465
6,1,0.00519477,0.201651
7,1,0.00471772,0.234883
8,1,0.00533457,0.203394
17,1,0.00517218,0.158494
31,1,0.00571534,0.178638
38,1,0.00551396,0.0140241
41,1,0.00532301,0.0796402
46,1,0.00515117,0.215808
47,1,0.00542387,0.0207351
53,1,0.00565961,0.0930598
55,1,0.00560986,0.123743
59,1,0.00575648,0.00683922
67,1,0.00552475,0.332514
75,1,0.00596678,0
79,1,0.00523752,0.200842
85,1,0.00532121,1
89,1,0.00526998,0.362612
93,1,0.00535075,0.339578
1,2,0.00517039,0.2839
20,2,0.00546523,0.0930175
21,2,0.0056844,0.0606636
22,2,0.0055605,0.234051
25,2,0.00559111,0.0353883
26,2,0.00558801,0.13391
28,2,0.00590705,0.138335
33,2,0.00580959,0.0817955
44,2,0.00570772,0.483621
47,2,0.00542387,0
49,2,0.00539185,0.0709449
54,2,0.00563389,0.142852
66,2,0.00529757,0.232344
69,2,0.00619232,0.456864
72,2,0.00558577,0.0560732
74,2,0.00560797,0.234783
76,2,0.00538279,0.278636
86,2,0.00548433,0.0204328
91,2,0.00540943,0.889178
98,2,0.00548205,1
9,3,0.00556114,0.516109
13,3,0.00568457,0.714892
23,3,0.00593297,0.717428
30,3,0.00594588,0.424243
31,3,0.00571534,0.53026
45,3,0.00593585,0.359989
51,3,0.00570115,0.241942
53,3,0.00565961,0
70,3,0.00575218,0.190229
73,3,0.0058909,0.378193
87,3,0.006093,1
92,3,0.00611919,0.534455
97,3,0.00601967,0.714456
100,3,0.00597144,0.693394
9,4,0.00556114,0.478336
11,4,0.00546475,0.663633
16,4,0.00562726,0.308848
18,4,0.00573379,0.39176
29,4,0.00559879,0.467696
35,4,0.00561498,1
40,4,0.00573219,0.307927
43,4,0.00561079,0.382528
52,4,0.00555553,0
54,4,0.00563389,0.316415
80,4,0.00578769,0.123114
87,4,0.006093,0.767409
96,4,0.00590675,0.142085
97,4,0.00601967,0.577186
2,5,0.00544432,0
4,5,0.00564075,0.649407
10,5,0.00559133,0.637996
14,5,0.00572126,0.60318
19,5,0.00589931,1
28,5,0.00590705,0.0213548
59,5,0.00575648,0.235231
63,5,0.00576305,0.297468
65,5,0.00572267,0.537416
71,5,0.00554076,0.431031
99,5,0.00584671,0.450532
100,5,0.00597144,0.23356
2,6,0.00544432,0.465695
12,6,0.00508054,0.732694
15,6,0.00526918,0.71532
21,6,0.0056844,0.603613
22,6,0.0055605,0.950524
34,6,0.00563714,0.828324
36,6,0.00540632,0.602493
45,6,0.00593585,0.736771
48,6,0.00567831,0.957739
51,6,0.00570115,0.603019
52,6,0.00555553,0.752658
55,6,0.00560986,0
60,6,0.00585013,0.661464
62,6,0.00559031,0.605428
65,6,0.00572267,0.772582
70,6,0.00575218,0.601514
80,6,0.00578769,0.598805
84,6,0.00546406,0.944884
94,6,0.00547071,1
95,6,0.00573214,0.461098
20,7,0.00546523,0.0334127
24,7,0.00552877,0.143424
25,7,0.00559111,0.344094
33,7,0.00580959,0.347525
37,7,0.00554801,0.0941247
38,7,0.00551396,0
39,7,0.00535238,0.367252
50,7,0.00548246,0.197785
56,7,0.00539112,0.127728
69,7,0.00619232,0.54102
71,7,0.00554076,0.0376289
72,7,0.00558577,0.0514174
73,7,0.0058909,0.301214
83,7,0.00568261,0.0860236
88,7,0.00547713,0.113931
90,7,0.00586631,1
95,7,0.00573214,0.317998
96,7,0.00590675,0.2001
5,8,0.00520604,0.501877
26,8,0.00558801,0.0130846
27,8,0.00545641,0.505966
39,8,0.00535238,0.165907
40,8,0.00573219,0.023227
42,8,0.00550398,0.490342
57,8,0.00548698,0.550876
61,8,0.00571119,0.698003
76,8,0.00538279,0.633353
77,8,0.00557778,1
78,8,0.0058263,0.718661
81,8,0.00554417,0.944611
82,8,0.00552322,0.450233
83,8,0.00568261,0
86,8,0.00548433,0.381206
92,8,0.00611919,0.76901
99,8,0.00584671,0.587152
24,9,0.00552877,0
30,9,0.00594588,0.204474
32,9,0.00555518,0.0617674
34,9,0.00563714,0.356759
41,9,0.00532301,0.126834
49,9,0.00539185,0.11292
50,9,0.00548246,0.345701
56,9,0.00539112,0.359527
58,9,0.00581768,0.294732
63,9,0.00576305,0.55238
64,9,0.00545777,1
68,9,0.00558632,0.997227
75,9,0.00596678,0.405271
78,9,0.0058263,0.099541
82,9,0.00552322,0.318259
88,9,0.00547713,0.250113
