Source,Target,Type,Id,Weight
1,2,Undirected,1,3.50539
1,13,Undirected,2,3.63559
1,20,Undirected,3,2.79317
1,43,Undirected,4,1.3373
1,45,Undirected,5,0.914422
1,56,Undirected,6,1.09339
1,61,Undirected,7,0.792647
1,69,Undirected,8,0.428606
1,71,Undirected,9,0.53781
2,1,Undirected,10,3.8952
2,8,Undirected,11,1.23463
2,9,Undirected,12,3.16301
2,14,Undirected,13,3.43331
2,20,Undirected,14,1.52664
2,56,Undirected,15,0.757513
2,61,Undirected,16,0.585165
2,69,Undirected,17,0.349819
2,71,Undirected,18,0.424245
3,23,Undirected,19,1.96775
3,28,Undirected,20,1.69981
3,38,Undirected,21,1.17142
3,39,Undirected,22,1.19221
3,44,Undirected,23,1.10088
3,46,Undirected,24,1.03378
3,54,Undirected,25,0.601207
3,62,Undirected,26,0.55671
3,90,Undirected,27,0.540805
4,21,Undirected,28,7.74777
4,42,Undirected,29,0.421075
4,49,Undirected,30,3.6537
4,60,Undirected,31,1.68304
4,66,Undirected,32,1.5173
4,72,Undirected,33,0.765351
4,74,Undirected,34,0.567832
4,76,Undirected,35,0.486311
4,78,Undirected,36,0.486318
5,14,Undirected,37,5.32575
5,26,Undirected,38,2.57546
5,43,Undirected,39,1.05267
5,45,Undirected,40,0.752723
5,53,Undirected,41,0.896904
5,56,Undirected,42,0.882133
5,69,Undirected,43,0.378147
5,71,Undirected,44,0.465879
5,80,Undirected,45,11.9563
6,18,Undirected,46,1.88644
6,31,Undirected,47,2.35367
6,36,Undirected,48,22.3949
6,47,Undirected,49,1.92631
6,77,Undirected,50,1.04257
6,81,Undirected,51,0.768705
6,83,Undirected,52,0.601158
6,85,Undirected,53,0.613183
6,88,Undirected,54,0.422233
7,40,Undirected,55,7.28633
7,58,Undirected,56,1.21971
7,60,Undirected,57,1.5172
7,66,Undirected,58,1.36432
7,67,Undirected,59,0.973484
7,74,Undirected,60,0.50123
7,76,Undirected,61,0.428345
7,78,Undirected,62,0.428358
7,79,Undirected,63,19.2294
8,2,Undirected,64,1.23468
8,15,Undirected,65,2.85939
8,30,Undirected,66,1.23192
8,38,Undirected,67,1.09959
8,39,Undirected,68,1.11901
8,44,Undirected,69,1.03367
8,46,Undirected,70,0.970943
8,54,Undirected,71,0.565846
8,62,Undirected,72,0.524108
9,2,Undirected,73,3.23767
9,19,Undirected,74,0.82916
9,32,Undirected,75,1.72051
9,43,Undirected,76,1.33413
9,53,Undirected,77,1.12392
9,56,Undirected,78,1.10418
9,61,Undirected,79,0.814386
9,69,Undirected,80,0.452147
9,71,Undirected,81,0.562342
10,27,Undirected,82,2.80938
10,30,Undirected,83,1.37497
10,34,Undirected,84,1.18686
10,37,Undirected,85,0.421038
10,39,Undirected,86,1.24688
10,44,Undirected,87,1.15029
10,50,Undirected,88,0.949211
10,54,Undirected,89,0.624436
10,62,Undirected,90,0.57785
11,35,Undirected,91,8.25322
11,36,Undirected,92,0.421042
11,58,Undirected,93,1.3225
11,59,Undirected,94,2.46771
11,65,Undirected,95,1.25295
11,66,Undirected,96,1.47325
11,74,Undirected,97,0.557641
11,76,Undirected,98,0.478223
11,78,Undirected,99,0.47823
12,76,Undirected,100,8.54826
12,86,Undirected,101,430.538
12,87,Undirected,102,25.346
12,93,Undirected,103,0.663124
12,94,Undirected,104,0.7295
12,96,Undirected,105,0.545103
12,97,Undirected,106,0.49651
12,99,Undirected,107,0.492708
12,100,Undirected,108,0.430603
13,1,Undirected,109,4.68591
13,14,Undirected,110,4.12096
13,20,Undirected,111,1.81152
13,26,Undirected,112,2.27727
